No.;Time;Source;Destination;Protocol;Length;Info;;;Time 1;Time 2;Delay;Delay 1;Delay 2;Jitter
5912;135,982325;31.13.68.60;192.168.1.9;TLSv1.2;96;Application Data;;;135,982325;136,022962;0,040637;-0,216727;0,257364;0,474091
5913;136,022962;192.168.1.9;31.13.68.60;TCP;54;49703  >  443 [ACK] Seq=1066 Ack=6168 Win=2480 Len=0;;;136,022962;136,280326;0,257364;0,216197;0,041167;-0,17503
5914;136,280326;31.13.68.60;192.168.1.9;TLSv1.2;978;Application Data;;;136,280326;136,321493;0,041167;-0,051014;0,092181;0,143195
5915;136,321493;192.168.1.9;31.13.68.60;TCP;54;49703  >  443 [ACK] Seq=1066 Ack=7092 Win=2484 Len=0;;;136,321493;136,413674;0,092181;0,045673;0,046508;0,000835
5916;136,413674;31.13.68.60;192.168.1.9;TLSv1.2;232;Application Data;;;136,413674;136,460182;0,046508;-4,970037;5,016545;9,986582
5917;136,460182;192.168.1.9;31.13.68.60;TCP;54;49703  >  443 [ACK] Seq=1066 Ack=7270 Win=2484 Len=0;;;136,460182;141,476727;5,016545;5,016147;0,000398;-5,015749
6028;141,476727;31.13.68.60;192.168.1.9;TLSv1.2;271;Application Data;;;141,476727;141,477125;0,000398;0,000291;0,000107;-0,000184
6029;141,477125;192.168.1.9;31.13.68.60;TLSv1.2;89;Application Data;;;141,477125;141,477232;0,000107;-0,000553;0,00066;0,001213
6030;141,477232;192.168.1.9;31.13.68.60;TLSv1.2;89;Application Data;;;141,477232;141,477892;0,00066;-0,01662;0,01728;0,0339
6031;141,477892;31.13.68.60;192.168.1.9;TLSv1.2;232;Application Data;;;141,477892;141,495172;0,01728;0,01728;0;-0,01728
6032;141,495172;31.13.68.60;192.168.1.9;TCP;56;443  >  49703 [ACK] Seq=7665 Ack=1101 Win=546 Len=0;;;141,495172;141,495172;0;-0,031948;0,031948;0,063896
6033;141,495172;31.13.68.60;192.168.1.9;TCP;56;443  >  49703 [ACK] Seq=7665 Ack=1136 Win=546 Len=0;;;141,495172;141,52712;0,031948;-0,941972;0,97392;1,915892
6034;141,52712;192.168.1.9;31.13.68.60;TCP;54;49703  >  443 [ACK] Seq=1136 Ack=7665 Win=2482 Len=0;;;141,52712;142,50104;0,97392;0,925544;0,048376;-0,877168
6035;142,50104;31.13.68.60;192.168.1.9;TLSv1.2;232;Application Data;;;142,50104;142,549416;0,048376;-2,662232;2,710608;5,37284
6036;142,549416;192.168.1.9;31.13.68.60;TCP;54;49703  >  443 [ACK] Seq=1136 Ack=7843 Win=2482 Len=0;;;142,549416;145,260024;2,710608;2,703417;0,007191;-2,696226
6037;145,260024;192.168.1.9;204.79.197.219;TCP;66;49836  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;145,260024;145,267215;0,007191;-0,013906;0,021097;0,035003
6038;145,267215;192.168.1.9;204.79.197.219;TCP;66;49837  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;145,267215;145,288312;0,021097;0,020942;0,000155;-0,020787
6039;145,288312;204.79.197.219;192.168.1.9;TCP;66;443  >  49836 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM=1;;;145,288312;145,288467;0,000155;-0,000387;0,000542;0,000929
6040;145,288467;192.168.1.9;204.79.197.219;TCP;54;49836  >  443 [ACK] Seq=1 Ack=1 Win=132352 Len=0;;;145,288467;145,289009;0,000542;-0,002297;0,002839;0,005136
6041;145,289009;192.168.1.9;204.79.197.219;TLSv1.2;646;Client Hello;;;145,289009;145,291848;0,002839;0,002754;0,000085;-0,002669
6042;145,291848;204.79.197.219;192.168.1.9;TCP;66;443  >  49837 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM=1;;;145,291848;145,291933;0,000085;-0,000279;0,000364;0,000643
6043;145,291933;192.168.1.9;204.79.197.219;TCP;54;49837  >  443 [ACK] Seq=1 Ack=1 Win=132352 Len=0;;;145,291933;145,292297;0,000364;-0,025869;0,026233;0,052102
6044;145,292297;192.168.1.9;204.79.197.219;TLSv1.2;646;Client Hello;;;145,292297;145,31853;0,026233;0,026233;0;-0,026233
6045;145,31853;204.79.197.219;192.168.1.9;TCP;54;443  >  49836 [ACK] Seq=1 Ack=593 Win=4194048 Len=0;;;145,31853;145,31853;0;-0,000783;0,000783;0,001566
6046;145,31853;204.79.197.219;192.168.1.9;TLSv1.2;208;Server Hello, Change Cipher Spec, Encrypted Handshake Message;;;145,31853;145,319313;0,000783;0,000783;0;-0,000783
6047;145,319313;204.79.197.219;192.168.1.9;TCP;54;443  >  49837 [ACK] Seq=1 Ack=593 Win=4194048 Len=0;;;145,319313;145,319313;0;-0,010264;0,010264;0,020528
6048;145,319313;204.79.197.219;192.168.1.9;TLSv1.2;208;Server Hello, Change Cipher Spec, Encrypted Handshake Message;;;145,319313;145,329577;0,010264;0,009763;0,000501;-0,009262
6049;145,329577;192.168.1.9;204.79.197.219;TLSv1.2;105;Change Cipher Spec, Encrypted Handshake Message;;;145,329577;145,330078;0,000501;0,000238;0,000263;0,000025
6050;145,330078;192.168.1.9;204.79.197.219;TLSv1.2;105;Change Cipher Spec, Encrypted Handshake Message;;;145,330078;145,330341;0,000263;-0,000003;0,000266;0,000269
6051;145,330341;192.168.1.9;204.79.197.219;TCP;54;49837  >  443 [FIN, ACK] Seq=644 Ack=155 Win=132096 Len=0;;;145,330341;145,330607;0,000266;-0,000091;0,000357;0,000448
6052;145,330607;192.168.1.9;204.79.197.219;TLSv1.2;153;Application Data;;;145,330607;145,330964;0,000357;-0,02409;0,024447;0,048537
6053;145,330964;192.168.1.9;204.79.197.219;TLSv1.2;593;Application Data;;;145,330964;145,355411;0,024447;0,024447;0;-0,024447
6054;145,355411;204.79.197.219;192.168.1.9;TCP;54;443  >  49836 [ACK] Seq=155 Ack=644 Win=4194048 Len=0;;;145,355411;145,355411;0;0;0;0
6055;145,355411;204.79.197.219;192.168.1.9;TCP;54;443  >  49836 [ACK] Seq=155 Ack=1282 Win=4193536 Len=0;;;145,355411;145,355411;0;0;0;0
6056;145,355411;204.79.197.219;192.168.1.9;TLSv1.2;123;Application Data;;;145,355411;145,355411;0;0;0;0
6057;145,355411;204.79.197.219;192.168.1.9;TCP;54;443  >  49837 [ACK] Seq=155 Ack=644 Win=4194048 Len=0;;;145,355411;145,355411;0;-0,000219;0,000219;0,000438
6058;145,355411;204.79.197.219;192.168.1.9;TCP;54;443  >  49837 [ACK] Seq=155 Ack=645 Win=4194048 Len=0;;;145,355411;145,35563;0,000219;0,000219;0;-0,000219
6059;145,35563;204.79.197.219;192.168.1.9;TCP;54;443  >  49837 [RST, ACK] Seq=224 Ack=645 Win=0 Len=0;;;145,35563;145,35563;0;-0,000062;0,000062;0,000124
6060;145,35563;204.79.197.219;192.168.1.9;TCP;123;[TCP Retransmission] 443  >  49837 [PSH, ACK] Seq=155 Ack=645 Win=4194048 Len=69;;;145,35563;145,355692;0,000062;-0,000334;0,000396;0,00073
